Timestamp,Action,Parameters,Model Weights,Buy Price,Current Price,Profit Margin,In Position
2024-12-01 04:59:19,HOLD,"(0.012, 29)",[[-0.23160983 -0.26417294 -0.10325804 -0.00754277 -2.06828218  4.09118054   -1.7921595  -0.16667366  0.6782088  -0.28918047  0.12079939 -0.92200523   -0.55091013 -0.15920359  0.          0.22032229]],0.01,3699.135,0.012,False
2024-12-01 05:00:07,HOLD,"(0.012, 29)",[[-0.23160983 -0.26417294 -0.10325804 -0.00754277 -2.06828218  4.09118054   -1.7921595  -0.16667366  0.6782088  -0.28918047  0.12079939 -0.92200523   -0.55091013 -0.15920359  0.          0.22032229]],0.01,3699.135,0.012,False
2024-12-01 05:00:45,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:01:19,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:01:55,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:02:27,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3686.245,0.011,False
2024-12-01 05:03:00,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:03:32,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:04:05,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3691.045,0.011,False
2024-12-01 05:04:37,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3691.045,0.011,False
2024-12-01 05:05:10,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:05:42,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:06:18,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:06:56,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:07:29,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3690.52,0.011,False
2024-12-01 05:08:01,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3686.245,0.011,False
2024-12-01 05:08:34,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3695.50088,0.011,False
2024-12-01 05:09:06,HOLD,"(0.011, 28)",[[-0.12511808 -0.11017545 -0.14449807 -0.1092085  -2.36451966  4.19444524   -1.68306484 -0.17694222  0.34095215 -0.23203046  0.29473197 -0.78427097   -0.57643287 -0.15368023  0.          0.1979882 ]],0.01,3691.045,0.011,False
